Topology,N_Stage1,N_Stage2,Total_Elements,P1_bar,P2_bar,Overall_Recovery_Pct,Permeate_Flow_m3_h,Permeate_TDS_mg_L,Concentrate_TDS_mg_L,Overall_Salt_Rejection_Pct,Average_Flux_LMH,System_SEC_kWh_m3,Max_Element_Recovery_Pct,Max_Polarization_Modulus,Feasible,Near_70_Pct_Target
Concentrate Staging (A),4,2,18,15.0,20.0,85.18291018984372,25.55487305695312,10.028578982005401,13716.980801312995,99.50864385193506,38.37068026569538,0.6644814828238413,30.896912295644047,1.2970952785041145,True,False
Concentrate Staging (A),4,3,21,15.0,20.0,89.83332072275331,26.94999621682599,14.315528512527196,19948.892160857427,99.29860222868558,34.68467981573487,0.6300832031901165,42.57844932630928,1.2811500577106023,False,False
Concentrate Staging (A),4,4,24,15.0,20.0,91.03882209945353,27.31164662983606,19.645572766753396,22576.43944146094,99.03745356360835,30.756358817382946,0.6217398816118606,48.83898370202962,1.2651097170429133,False,False
Concentrate Staging (A),5,1,18,15.0,20.0,81.97050171442902,24.591150514328707,9.519091640282765,11277.058965367742,99.5336064850425,36.923649420913975,0.6652879128906307,37.74862618653304,1.262809790635558,False,False
Concentrate Staging (A),5,2,21,15.0,20.0,88.77996311378936,26.63398893413681,13.152638465910753,18086.59911729434,99.35557871308619,34.27797803621211,0.614260043499839,37.74862618653304,1.262809790635558,False,False
Concentrate Staging (A),5,3,24,15.0,20.0,90.74954263113484,27.224862789340452,18.231460596647324,21884.918249635983,99.1067388242701,30.658629267275284,0.6009284721781125,42.5202155149702,1.262809790635558,False,False
Concentrate Staging (A),5,4,27,15.0,20.0,91.28127522575389,27.384382567726167,23.781796303046185,23160.40161088343,98.8347968494343,27.411794362088255,0.5974279376500676,51.55492814588808,1.262809790635558,False,False
Concentrate Staging (A),6,1,21,15.0,20.0,86.71043545554035,26.013130636662105,12.342687640137347,15277.382453037118,99.39526273198739,33.47893260831673,0.6106192413521658,45.34022671311833,1.2602509992051918,False,False
Concentrate Staging (A),6,2,24,15.0,20.0,90.23029059942431,27.06908717982729,16.903488932668274,20734.986576931773,99.17180357997705,30.48320628358929,0.5867991775648322,45.34022671311833,1.2602509992051918,False,False
Concentrate Staging (A),6,3,27,15.0,20.0,91.09240232023929,27.327720696071786,22.337290830130296,22684.59463274565,98.90557124791131,27.35507577184363,0.5812456249538827,45.34022671311833,1.2602509992051918,False,False
Concentrate Staging (A),2,1,9,15.0,25.0,56.74649411102675,17.023948233308023,4.870334822817077,4712.303000289732,99.76137506992568,51.12296766759166,1.2995340583922756,16.155105897933932,1.5038178970205263,True,False
Concentrate Staging (A),2,2,12,15.0,25.0,78.29829108214584,23.48948732464375,6.398114309794915,9381.705346526523,99.68652061196497,52.904250731179616,0.9418341163317115,38.526641323833026,1.4935322220227718,False,False
Concentrate Staging (A),3,1,12,15.0,25.0,69.02534630355116,20.707603891065347,5.961544662115264,6575.973514065331,99.70791059960239,46.63874750239943,0.9942150936310763,20.132141898009547,1.4733321132408639,True,True
Concentrate Staging (A),3,2,15,15.0,25.0,86.14542933864675,25.843628801594026,8.440398676164113,14679.119490837264,99.58645768367643,46.56509693980906,0.796630090127317,42.66902852928717,1.4578516378945452,False,False
Concentrate Staging (A),3,3,18,15.0,25.0,92.2990501162706,27.689715034881182,13.737210377297812,26338.57791484565,99.32693726715837,41.576148701022795,0.7435183899688377,54.44750334284449,1.4373896165848388,False,False
Concentrate Staging (A),4,1,15,15.0,25.0,79.09531470355824,23.728594411067476,7.484467053516085,9735.043165545932,99.6332941179071,42.75422416408554,0.8088493433728295,28.82926487597307,1.4301499910844095,True,False
Concentrate Staging (A),4,2,18,15.0,25.0,90.52591957758881,27.15777587327664,11.316526891479251,21434.8572043302,99.44554008370999,40.77744125116613,0.7067168570102963,42.175307690076856,1.406403074301166,False,False
